UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA_DE_VOTACION;DESCRIP_ESTADO_ACTA;TIPO_OBSERVACION;N_CVAS;N_ELEC_HABIL;VOTOS_P1;VOTOS_P2;VOTOS_P3;VOTOS_P4;VOTOS_P5;VOTOS_P6;VOTOS_P7;VOTOS_P8;VOTOS_P9;VOTOS_P10;VOTOS_P11;VOTOS_P12;VOTOS_P13;VOTOS_P14;VOTOS_P15;VOTOS_P16;VOTOS_P17;VOTOS_P18;VOTOS_P19;VOTOS_P20;VOTOS_VB;VOTOS_VN;VOTOS_VI
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;140;CONTABILIZADAS NORMALES;;181;210;1;5;6;41;5;2;1;1;28;1;3;0;10;2;0;0;39;0;0;0;30;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;141;CONTABILIZADAS NORMALES;;188;209;1;5;11;49;2;0;0;0;24;0;0;1;11;0;1;0;50;0;2;0;23;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;143;CONTABILIZADAS NORMALES;;183;203;0;7;7;40;0;1;0;2;33;0;0;1;10;1;0;1;49;0;0;0;26;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;145;CONTABILIZADAS NORMALES;;180;209;0;11;7;37;1;2;0;0;34;0;0;0;12;0;0;1;49;0;0;0;22;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;146;CONTABILIZADAS NORMALES;;92;104;1;2;4;27;2;3;0;0;13;0;0;1;5;0;0;0;13;0;0;0;21;0;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;148;CONTABILIZADAS NORMALES;;186;208;1;9;3;42;2;2;0;0;34;0;0;0;8;0;0;0;49;0;0;0;29;7;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;152;CONTABILIZADAS NORMALES;;193;209;0;8;9;38;4;1;1;0;23;0;0;0;19;2;1;0;37;0;0;0;43;7;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;153;CONTABILIZADAS NORMALES;;188;209;1;4;7;50;1;0;0;0;27;0;0;0;15;1;0;0;52;0;0;0;29;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;156;CONTABILIZADAS NORMALES;;191;209;1;7;10;46;1;0;0;0;34;0;2;0;5;0;0;0;42;0;0;0;32;11;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;157;CONTABILIZADAS NORMALES;;187;206;0;8;11;50;0;1;0;0;23;0;0;1;12;0;0;1;48;0;0;0;27;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;159;CONTABILIZADAS NORMALES;;187;209;0;11;2;33;3;3;0;2;40;0;0;1;8;0;1;0;55;0;0;1;23;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;165;CONTABILIZADAS NORMALES;;186;209;0;6;11;52;0;1;0;0;33;0;0;0;10;0;1;0;42;0;0;0;25;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;166;CONTABILIZADAS NORMALES;;177;206;0;10;15;39;0;0;0;1;26;1;0;0;1;0;0;0;49;0;0;1;30;4;0
